nta_code,nta_name,population,source,source_url
MN1001,Harlem (South),47118,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
MN1002,Harlem (North),83335,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
MN1101,East Harlem (South),59814,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
MN1102,East Harlem (North),64651,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
MN1201,Washington Heights (South),72037,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
MN1202,Washington Heights (North),71846,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
MN1203,Inwood,36312,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
QN0101,Astoria (North)-Ditmars-Steinway,50230,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
QN0102,Old Astoria-Hallets Point,18927,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
QN0103,Astoria (Central),52220,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
QN0104,Astoria (East)-Woodside (North),38680,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
QN0105,Queensbridge-Ravenswood-Dutch Kills,32967,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
QN0201,Long Island City-Hunters Point,32216,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
QN0202,Sunnyside,52298,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
QN0203,Woodside,53197,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
QN0301,Jackson Heights,101848,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
QN0302,East Elmhurst,33573,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
QN0303,North Corona,43437,Prison Policy Initiative table; column: 2020 Census population,https://www.prisonpolicy.org/origin/ny/2020/nyc_nta.html
